Sr No,Filter path,University,Course,Matched term
743,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",Technische Hochschule Köln,Automation and IT,Computer Science
744,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",Technische Hochschule Köln,Digital Sciences,Computer Science
745,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",Technische Universität Ilmenau,Data Science,Computer Science
746,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Bremen,Engineering and Management of Space Systems,Computer Science
747,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Emden/Leer,Business Informatics,Computer Science
748,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Fresenius,Computer Science,Computer Science
749,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Offenburg,Enterprise and IT Security,Computer Science
750,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Rosenheim,E-Commerce (Chiemgau campus),Computer Science
751,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Applied Sciences Rosenheim,Smart Interactive Media (Chiemgau campus),Computer Science
752,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Augsburg,Mathematics and Computer Science,Computer Science
753,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Bayreuth,Philosophy & Computer Science,Computer Science
754,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Bonn,Artificial Intelligence,Computer Science
755,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Bonn,Computer Science,Computer Science
756,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Bremen,Artificial Intelligence and Intelligent Systems,Computer Science
757,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Freiburg,Computer Science,Computer Science
758,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Hamburg,Intelligent Adaptive Systems,Computer Science
759,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Hamburg,Marine Ecosystem and Fisheries Science,Computer Science
760,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Hannover,Computer Science,Computer Science
761,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Koblenz,Web and Data Science,Computer Science
762,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Konstanz,Computer Science for Industry and Business (COSIB),Computer Science
763,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Konstanz,Computer and Information Science,Computer Science
764,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Konstanz,Social and Economic Data Science,Computer Science
765,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Magdeburg,Data and Knowledge Engineering,Computer Science
766,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Magdeburg,Visual Computing,Computer Science
767,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Mannheim,Mannheim Master in Data Science (MMDS),Computer Science
768,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Marburg,Business Informatics,Computer Science
769,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Marburg,Business Mathematics,Computer Science
770,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Marburg,Computer Science,Computer Science
771,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Marburg,Data Science,Computer Science
772,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Oldenburg,Engineering of Socio-Technical Systems,Computer Science
773,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Osnabrück,Cognitive Science,Computer Science
774,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Passau,Artificial Intelligence,Computer Science
775,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Passau,Mathematics,Computer Science
776,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Rostock,Computer Science International,Computer Science
777,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Siegen,Computer Science,Computer Science
778,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Siegen,Engineering of Hydro-environmental Extremes,Computer Science
779,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Siegen,Quantum Science,Computer Science
780,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Stuttgart,Computational Linguistics,Computer Science
781,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Stuttgart,Computer Science,Computer Science
782,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Technology Nuremberg,Artificial Intelligence & Robotics,Computer Science
783,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Technology Nuremberg,Human & Artificial Intelligence,Computer Science
784,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Ulm,Cognitive Systems,Computer Science
785,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",University of Würzburg,Satellite Technology,Computer Science
786,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",West Saxon University of Applied Sciences of Zwickau,Internet of Things and Smart Systems,Computer Science
787,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",West Saxon University of Applied Sciences of Zwickau,Management and Information Technology,Computer Science
788,"Mathematics, Natural Sciences -> Computer Science -> Computer Science",XU Exponential University of Applied Sciences,Coding and Software Engineering,Computer Science
789,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Berlin School of Applied Sciences (HTW),Project Management and Data Science,Computer Science
790,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Chemnitz University of Technology,Foundations in Data Science,Computer Science
791,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Frankfurt School of Finance & Management,Bachelor’s degree in Computational Business Analytics,Computer Science
792,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Free University Berlin,Data Science,Computer Science
793,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Fulda University of Applied Sciences,Data Science,Computer Science
794,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Hertie School,Master of Data Science for Public Policy,Computer Science
795,"Mathematics, Natural Sciences -> Computer Science -> Data Science",IU International University,Computer Science,Computer Science
796,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Munich University of Technology,Mathematics in Data Science,Computer Science
797,"Mathematics, Natural Sciences -> Computer Science -> Data Science",SRH University of Applied Sciences Heidelberg,Data Science: Business Analytics,Computer Science
798,"Mathematics, Natural Sciences -> Computer Science -> Data Science",SRH University of Applied Sciences Heidelberg,Digital Health - Data Analytics,Computer Science
799,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Technical University of Darmstadt,Data and Discourse Studies,Computer Science
800,"Mathematics, Natural Sciences -> Computer Science -> Data Science",Technische Universität Dresden,Transportation Economics and Data Science,Computer Science
801,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Applied Sciences Neu-Ulm,Digital Innovation Management,Computer Science
802,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Augsburg,Data Science,Computer Science
803,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Erlangen-Nuremberg,Data Science,Computer Science
804,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Europe for Applied Sciences,Data Science,Computer Science
805,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Europe for Applied Sciences,Digital Business & Data Science (English),Computer Science
806,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Greifswald,Data Science,Computer Science
807,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Mannheim,Mannheim Master in Management Analytics and AI,Computer Science
808,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Mannheim,Mannheim Master of Applied Data Science & Measurement,Computer Science
809,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Mannheim,Master in Management Analytics (Full-Time),Computer Science
810,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Münster,Data Science,Computer Science
811,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Oldenburg,Data Science and Machine Learning,Computer Science
812,"Mathematics, Natural Sciences -> Computer Science -> Data Science",University of Regensburg,Data Science,Computer Science
813,"Mathematics, Natural Sciences -> Computer Science -> Data Science",XU Exponential University of Applied Sciences,Data Science,Computer Science
814,"Mathematics, Natural Sciences -> Computer Science -> Data Science",XU Exponential University of Applied Sciences,Data Science & AI,Computer Science
815,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Fachhochschule of Erfurt,Software Engineering,Computer Science
816,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Fachhochschule of Wedel,IT Engineering,Computer Science
817,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Georg Simon Ohm University of Applied Sciences Nuremberg,Intelligent & Autonomous Systems,Computer Science
818,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Heilbronn University,Intelligent Mechatronic Systems,Computer Science
819,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",RWTH Aachen University,Data Analytics and Decision Science,Computer Science
820,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Technical University Braunschweig,Computational science in engineering,Computer Science
821,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Technical University of Darmstadt,Artificial Intelligence and Machine Learning,Computer Science
822,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Technical University of Hamburg,Computational Science and Engineering,Computer Science
823,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Technical University of Hamburg,Computer Science,Computer Science
824,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",Technische Hochschule Ingolstadt,Autonomous Vehicle Engineering,Computer Science
825,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",University of Applied Sciences Neubrandenburg,Geomatics,Computer Science
826,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",University of Bayreuth,Digitalisation & Sustainability in Materials Science & Engineering,Computer Science
827,"Mathematics, Natural Sciences -> Computer Science -> Engineering Informatics",University of Erlangen-Nuremberg,Computational Engineering,Computer Science
828,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Berlin University of Technology,Geodesy and Geoinformation Science,Computer Science
829,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Eberswalde University for Sustainable Development,Forest Information Technology,Computer Science
830,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Karlsruhe Institute of Technology (KIT),Remote Sensing and Geoinformatics,Computer Science
831,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Karlsruhe University of Applied Sciences,Geomatics,Computer Science
832,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Munich University of Technology,Cartography,Computer Science
833,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Munich University of Technology,Geodesy and Geoinformation,Computer Science
834,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Munich University of Technology,Information Technologies for the Built Environment,Computer Science
835,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Rhine-Waal University of Applied Sciences,Information Engineering and Computer Science,Computer Science
836,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Stuttgart University of Applied Sciences,Photogrammetry and Geoinformatics,Computer Science
837,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",Technische Universität Dresden,Cartography,Computer Science
838,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",University of Halle-Wittenberg,International Area Studies - Global Change Geography,Computer Science
839,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",University of Hannover,Geodesy and Geoinformatics,Computer Science
840,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",University of Hohenheim,Landscape Ecology,Computer Science
841,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",University of Münster,Geoinformatics and Spatial Data Science,Computer Science
842,"Mathematics, Natural Sciences -> Computer Science -> Geoinformatics",University of Trier,Geo-informatics,Computer Science
843,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Augsburg University of Applied Sciences,International Information Systems,Computer Science
844,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Berlin School of Economics and Law,Business Intelligence and Process Management,Computer Science
845,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Berlin School of Economics and Law,International Digital Business,Computer Science
846,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",European University Viadrina Frankfurt (Oder),Digital Entrepreneurship,Computer Science
847,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management","Furtwangen University - computer science, technology, economics, media, health",Business Consulting,Computer Science
848,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Hochschule für angewandte Wissenschaften Coburg,Digital Business Models and Technologies,Computer Science
849,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",International School of Management,Applied Business Data Science,Computer Science
850,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",International School of Management,Applied Data Science & Business Analytics,Computer Science
851,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Karlsruhe Institute of Technology (KIT),Financial Engineering,Computer Science
852,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Munich University of Technology,Information Systems (Business Informatics),Computer Science
853,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",Munich University of Technology,Management and Data Science,Computer Science
854,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",South Westphalia University of Applied Sciences,International Management & Information Systems,Computer Science
855,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",South Westphalia University of Applied Sciences,International Management & Information Systems-online (career-integrated continuing combined degree course),Computer Science
856,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Applied Sciences Neu-Ulm,Artificial Intelligence and Data Analytics,Computer Science
857,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Bremen,Management Information Systems,Computer Science
858,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Erlangen-Nuremberg,International Information Systems,Computer Science
859,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Koblenz,E-Government,Computer Science
860,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Magdeburg,Operations Research and Business Analytics,Computer Science
861,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Mannheim,Business computing,Computer Science
862,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Münster,Information Systems,Computer Science
863,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Passau,Business Informatics (Information Systems),Computer Science
864,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Siegen,Human-Computer Interaction,Computer Science
865,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",University of Trier,Data Science,Computer Science
866,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",XU Exponential University of Applied Sciences,Digital Business & Sustainability,Computer Science
867,"Mathematics, Natural Sciences -> Computer Science -> Information Systems and Management",XU Exponential University of Applied Sciences,Digital Transformation & Sustainability,Computer Science
868,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Aschaffenburg University of Applied Sciences,Software Design International,Computer Science
869,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Bauhaus-Universität Weimar,Human-Computer Interaction,Computer Science
870,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Brandenburgische Technische Universität Cottbus-Senftenberg,Mathematical Data Science,Computer Science
871,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Hof University of Applied Sciences,Applied Research in Computer Science,Computer Science
872,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Ludwig Maximilians University Munich,Management and Digital Technologies,Computer Science
873,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",RWTH Aachen University,Human-Centred Intelligent System,Computer Science
874,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Saarland University,Media Informatics,Computer Science
875,"Mathematics, Natural Sciences -> Computer Science -> Media Informatics",Technische Hochschule Deggendorf,Health Informatics,Computer Science
876,"Mathematics, Natural Sciences -> Computer Science -> Medical Informatics",Berlin University of Technology,Computational Neuroscience,Computer Science
877,"Mathematics, Natural Sciences -> Computer Science -> Medical Informatics",SRH University of Applied Sciences Heidelberg,Health Informatics,Computer Science
878,"Mathematics, Natural Sciences -> Computer Science -> Medical Informatics",SRH University of Applied Sciences Heidelberg,Regulatory Affairs - Medical Devices,Computer Science
879,"Mathematics, Natural Sciences -> Computer Science -> Medical Informatics",Technische Hochschule Deggendorf,Digital Health,Computer Science
880,"Mathematics, Natural Sciences -> Computer Science -> Medical Informatics",University of Applied Sciences Neu-Ulm,Artificial Intelligence and Health Informatics,Computer Science
881,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",Heilbronn University,Applied Artificial Intelligence,Computer Science
882,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",Heilbronn University,Software Engineering,Computer Science
883,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",Technical University of Applied Sciences Würzburg-Schweinfurt,Applied Mathematics,Computer Science
884,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",University of Regensburg,Computer Science,Computer Science
885,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",University of Regensburg,Human-Centred Artificial Intelligence,Computer Science
886,"Mathematics, Natural Sciences -> Computer Science -> Practical Computer Science",University of Wuppertal,Computer Simulation in Science,Computer Science
887,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Brandenburgische Technische Universität Cottbus-Senftenberg,Artificial Intelligence,Computer Science
888,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Chemnitz University of Technology,Automotive Software Engineering,Computer Science
889,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Dortmund University of Applied Sciences and Arts,Digital Transformation,Computer Science
890,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Frankfurt University of Applied Sciences,High Integrity Systems,Computer Science
891,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Fresenius Heidelberg University	state-approved university of Hochschule Fresenius für Internationales Management GmbH,SAP Engineering & Analytics,Computer Science
892,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",IU International University,DevOps and Cloud Computing,Computer Science
893,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Lübeck University,Artificial Intelligence,Computer Science
894,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Munich University of Technology,Computer Science: Games Engineering,Computer Science
895,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Rhineland-Palatinate Technical University of Kaiserslautern-Landau,Software Engineering for Embedded Systems,Computer Science
896,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",SRH University of Applied Sciences Heidelberg,Web Development,Computer Science
897,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Stuttgart University of Applied Sciences,Software Technology,Computer Science
898,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Technical University Braunschweig,Data Science,Computer Science
899,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Technische Hochschule Ingolstadt,Artificial Intelligence,Computer Science
900,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",Technische Hochschule Ingolstadt,Entrepreneurship and Corporate Venturing,Computer Science
901,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",University of Hildesheim,Data Analytics (International Master’s degree),Computer Science
902,"Mathematics, Natural Sciences -> Computer Science -> Software Engineering",University of Magdeburg,Computational Methods in Engineering,Computer Science
903,"Mathematics, Natural Sciences -> Computer Science -> Theoretical Computer Science",University of Jena,Mathematics,Computer Science
904,"Mathematics, Natural Sciences -> Geosciences -> Geophysics",University of Leipzig,Earth System Data Science and Remote Sensing,Data Science
905,"Mathematics, Natural Sciences -> Mathematics -> Applied Mathematics",Berlin University of Technology,Scientific Computing,Computing
906,"Mathematics, Natural Sciences -> Mathematics -> Applied Mathematics",Munich University of Applied Sciences,Engineering Physics and Data Science,Data Science
907,"Mathematics, Natural Sciences -> Mathematics -> Business Mathematics",RWTH Aachen University,Management Science and Mathematics,Management Science
908,"Mathematics, Natural Sciences -> Mathematics -> Mathematics",Constructor University,"Mathematics, Modelling and Data Analytics",Data Analytics
909,"Mathematics, Natural Sciences -> Mathematics -> Mathematics",Heidelberg University,Scientific Computing,Computing
910,"Mathematics, Natural Sciences -> Mathematics -> Statistics",Ludwig Maximilians University Munich,Statistics and Data Science,Data Science
911,"Mathematics, Natural Sciences -> Mathematics -> Statistics",Munich University of Technology,Finance and Information Management (FIM),Information Management
912,"Mathematics, Natural Sciences -> Physics, Astronomy -> Physics",Constructor University,Physics and Data Science,Data Science
913,"Medicine, Health Sciences -> Health and Nursing Sciences -> Health Management",SRH University of Applied Sciences Heidelberg,International Business Administration – Healthcare Management,Business Administration
914,"Medicine, Health Sciences -> Health and Nursing Sciences -> Health Science",Constructor University,Data Science for Society and Business,Data Science
915,Teaching Degrees -> Vocational Disciplines -> Information Technology (Teaching Degree),Europa-Universität Flensburg,English,Information Technology
