Main filter,Sub filter,Sr No,University,Course
Teaching Degrees,School Subjects > Sport (Teaching Degree),1,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),2,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),3,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),4,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),5,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),6,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),7,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),8,Paderborn University,Sport
Teaching Degrees,School Subjects > Sport (Teaching Degree),9,Paderborn University,Sport
Teaching Degrees,School Subjects > Engineering (Teaching Degree),1,Paderborn University,Technology
Teaching Degrees,School Subjects > Engineering (Teaching Degree),2,Paderborn University,Technology
Teaching Degrees,School Subjects > Engineering (Teaching Degree),3,Paderborn University,Technology
Teaching Degrees,School Subjects > Engineering (Teaching Degree),4,Paderborn University,Technology
Teaching Degrees,School Subjects > Textiles (Teaching Degree),1,Paderborn University,Textile design
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),1,Paderborn University,Learning Area Basic Education in Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),2,Paderborn University,Learning Area Basic Education in Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),3,Paderborn University,Learning Area Basic Education in Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),4,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),5,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),6,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),7,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),8,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Mathematics (Teaching Degree),9,Paderborn University,Mathematics
Teaching Degrees,School Subjects > Music (Teaching Degree),1,Paderborn University,Music
Teaching Degrees,School Subjects > Music (Teaching Degree),2,Paderborn University,Music
Teaching Degrees,School Subjects > Music (Teaching Degree),3,Paderborn University,Music
Teaching Degrees,School Subjects > Music (Teaching Degree),4,Paderborn University,Music
Teaching Degrees,School Subjects > Music (Teaching Degree),5,Paderborn University,Music
Teaching Degrees,School Subjects > Music (Teaching Degree),6,Paderborn University,Music
